Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Greenland,GRL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.7906112670898,82.0752868652344,82.3485946655273,82.5634307861328,82.6899108886719,82.8471984863281,83.2039566040039,83.621826171875,83.8556137084961,84.2784881591797,84.5286026000977,84.8864593505859,85.3725891113281,85.6772384643555,86.046257019043,86.2261047363281,86.3915557861328,86.72509765625,87.0217895507812,87.2840881978115,87.5452017613678,87.8049405256832,88.0631147749908,88.3195347935238,..
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.678095600504,45.7754731938848,46.5865389722105,47.326819486636,48.0557951573834,48.7676356188334,49.4565105053665,50.1165894513633,50.7420420912045,51.3270380592706,51.8657469899423,52.3523385176,52.7809822766245,53.1458479013964,53.4411050262961,53.6609232857043,53.7994723140017,53.845962303542,54.1882267267974,54.5483167911628,54.9047071553758,55.2581228215265,55.6082319565539,55.9547027274763,..
Guyana,GUY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.6194627210441,28.4796776810692,28.3083472486662,28.0668850172523,27.7758550706193,27.4604582346121,27.1458953350755,26.8573671978542,26.620074648793,26.4592185137368,26.3999996185303,26.3999996185303,26.4003891353669,26.4018152016157,26.4043918297579,26.4080892882899,26.412905546573,26.4188378517884,26.4258834773058,26.4340397353676,26.443303961947,26.4536735068183,26.4651457279878,26.477717988557,..
"Hong Kong SAR, China",HKG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.2176948406254,31.5131362085814,31.8086015036327,32.1032575610216,32.3962712159907,32.6868093037822,32.9740386596386,33.2571261188022,33.5352385165154,33.8075426880206,34.0732054685603,34.3313936933767,34.5812741977122,34.8177920826682,35.0373191833496,35.3100280761719,35.5827331542969,35.8554382324219,36.1281547546387,36.4802208060551,36.8502178436256,37.2384967469106,37.6454083954705,38.0713036688655,..
Guinea-Bissau,GNB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.1627839410066,37.4734924367695,37.7773055741583,38.0781980012196,38.3801443659997,38.6871193165452,39.0030975009025,39.3320535671181,39.6716434222135,40.0095596313477,40.4391136169434,40.8686027526855,41.2976379394531,41.7271995544434,42.1568145751953,42.586109161377,43.0155792236328,43.4449081420898,43.8745574951172,44.3038330078125,44.7334136962891,45.1627159118652,45.5923843383789,46.113204421822,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
